source_id,latitude,longitude,fish,date,waterbody,source_url,original_source_url,included,inclusion_reason
20067,60.13091667,32.33388611,Густера; Плотва,2019-08-09,Волхов,https://ru.fishermap.org/location/20067/,http://fishingmaniya.ru,true,нижний Волхов
20188,60.225408,32.129243,Окунь,2022-01-04,Ладожское озеро,https://ru.fishermap.org/location/20188/,https://vk.com/public1707795?w=wall-1707795_46030,true,Ладожское озеро
20191,60.119097,32.340207,Плотва,2022-04-06,Волхов,https://ru.fishermap.org/location/20191/,https://vk.com/public1707795?w=wall-1707795_49346,true,нижний Волхов
20195,60.285915,32.601296,Густера; Налим; Плотва,2022-11-29,Ладожское озеро,https://ru.fishermap.org/location/20195/,https://vk.com/public1707795?w=wall-1707795_53274,true,Ладожское озеро
20200,60.021502,31.475682,Окунь; Сиг,2023-01-14,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/20200/,https://vk.com/public1707795?w=wall-1707795_55955,true,Ладожское озеро
20204,60.129703,32.242394,Щука,2023-02-05,Ладожское озеро,https://ru.fishermap.org/location/20204/,https://vk.com/public1707795?w=wall-1707795_57024,true,Ладожское озеро
20205,60.028511,31.469672,Окунь; Плотва,2023-02-15,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/20205/,https://vk.com/public1707795?w=wall-1707795_57457,true,Ладожское озеро
20206,60.132812,32.239792,Щука,2023-02-16,Ладожское озеро,https://ru.fishermap.org/location/20206/,https://vk.com/public1707795?w=wall-1707795_57494,true,Ладожское озеро
20207,60.070309,31.382218,Окунь,2023-02-25,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/20207/,https://vk.com/public1707795?w=wall-1707795_57778,true,Ладожское озеро
20209,60.028196,31.529794,Плотва,2023-04-04,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/20209/,https://vk.com/public162151399?w=wall-162151399_195313,true,Ладожское озеро
20215,60.058404,32.339714,Лещ,2023-09-17,Волхов,https://ru.fishermap.org/location/20215/,https://vk.com/public162151399?w=wall-162151399_206870,true,нижний Волхов
20239,60.135595,32.455839,Лещ,2021-05-10,,https://ru.fishermap.org/location/20239/,https://vk.com/public189584782?w=wall-189584782_24003,true,целевая прибрежная зона; водоём в метаданных не указан
20271,60.105391,31.57502,Окунь; Плотва,2022-02-12,Ладожское озеро,https://ru.fishermap.org/location/20271/,https://vk.com/public76517308?w=wall-76517308_12367,true,Ладожское озеро
20272,60.041804,32.336191,Белоглазка,2022-05-05,Волхов,https://ru.fishermap.org/location/20272/,https://vk.com/public76517308?w=wall-76517308_13443,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
20283,60.11502,32.306801,Карась,2023-05-12,,https://ru.fishermap.org/location/20283/,https://vk.com/public10618634?w=wall-10618634_486664,true,целевая прибрежная зона; водоём в метаданных не указан
20284,60.085507,32.314274,Карась,2023-05-12,Волхов,https://ru.fishermap.org/location/20284/,https://vk.com/public10618634?w=wall-10618634_486720,true,нижний Волхов
20289,59.9732,32.337608,Лещ,2023-11-01,Волхов,https://ru.fishermap.org/location/20289/,https://vk.com/public10618634?w=wall-10618634_500440,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
20290,59.973197,32.337905,Судак,2023-11-03,Волхов,https://ru.fishermap.org/location/20290/,https://vk.com/public10618634?w=wall-10618634_500550,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
20292,60.262203,31.943687,Окунь,2024-02-10,Ладожское озеро,https://ru.fishermap.org/location/20292/,https://vk.com/public10618634?w=wall-10618634_508414,true,Ладожское озеро
20303,59.978608,31.418379,Окунь; Плотва,2023-12-17,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/20303/,https://vk.com/public204282817?w=wall-204282817_26750,true,Ладожское озеро
20306,60.029512,31.508122,Плотва,2024-03-11,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/20306/,https://vk.com/public52321266?w=wall-52321266_718888,true,Ладожское озеро
20307,59.977616,31.718685,Щука,2022-05-27,,https://ru.fishermap.org/location/20307/,https://vk.com/public47864815?w=wall-47864815_12388,true,целевая прибрежная зона; водоём в метаданных не указан
